Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Payout ID,Payout status
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-07-07,USD,Marketplace,15533.94,943.92,-1885.38,0.00,-44.55,-1287.15,-332.94,0.00,332.94,0.00,-236.09,0.00,13024.69,14246.79,0.00,496701409,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-07-07,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.02,72.02,0.00,0.00,496701409,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-30,USD,Marketplace,14449.59,921.61,-1848.67,0.00,0.00,-538.17,-396.97,0.00,396.97,0.00,-104.48,12.48,12892.36,13911.42,0.00,494937587,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-30,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.56,70.56,0.00,0.00,494937587,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-23,USD,Marketplace,14111.65,889.91,-1779.17,0.00,0.00,-680.57,-196.90,0.00,196.90,0.00,-270.93,20.70,12291.59,13431.08,0.00,493186819,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-23,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.49,68.49,0.00,0.00,493186819,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-16,USD,Marketplace,13697.56,832.05,-1664.85,0.00,0.00,-1138.67,-187.06,-9.13,187.06,9.13,-111.54,0.00,11614.55,12558.89,0.00,491416520,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-16,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.17,66.17,0.00,0.00,491416520,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-09,USD,Marketplace,13233.28,832.93,-1656.33,0.00,0.00,-662.22,-156.87,0.00,156.87,0.00,-192.46,0.00,11555.20,12571.06,0.00,489667813,PAID
5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,2025-06-09,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.69,67.69,0.00,0.00,489667813,PAID
