Timestamp local time,Payout date,Business ID,Business name,Store ID,Store name,Merchant store ID,Transaction type,Delivery UUID,DoorDash transaction ID,DoorDash order ID,Merchant delivery ID,POS order ID,Channel,Description,Error charges,Adjustments
2024-09-05 15:46:13.329475,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,e13ceac1-2810-3001-8c43-fe8d0b641152,10919368383,0B641152,8a9a85d8-8c3a-4883-9717-878faedbb4c3,8a9a85d8-8c3a-4883-9717-878faedbb4c3,Marketplace,1 Double Quarter Pounder® with Cheese missing,-2.28,NULL
2024-09-05 10:11:37.052826,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,9c98c393-440c-3001-be70-a7df5d1be344,10917031088,5D1BE344,947ef40d-6bef-414c-bade-385665c591ec,947ef40d-6bef-414c-bade-385665c591ec,Marketplace,1 2 Sausage Burrito Meal food quality,-9.40,NULL
2024-09-04 21:17:29.708691,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,172031fa-d753-3001-9565-7acf9221f448,10914518903,9221F448,b5c8ece9-bda6-4130-be96-0e2ea5d377aa,b5c8ece9-bda6-4130-be96-0e2ea5d377aa,Marketplace,1 Classic Cheeseburger Pack  incorrect,-9.41,NULL
2024-09-04 09:50:13.068586,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,98c322e2-6da3-3001-b15d-4be1511338ac,10909181117,511338AC,bb85da43-5e4c-47c1-84c6-a7a8c60f60e2,bb85da43-5e4c-47c1-84c6-a7a8c60f60e2,Marketplace,1 Big Breakfast® with Steak missing,-1.76,NULL
2024-09-03 21:28:43.641264,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,39f75ee6-1500-3001-86bb-6ae66982aab3,10907037929,6982AAB3,2da8bfb5-0618-418d-bc3b-84254c8571f2,2da8bfb5-0618-418d-bc3b-84254c8571f2,Marketplace,"1 3 Pack Of Cookies missing
1 Deluxe Spicy McCrispy™ Meal missing",-15.85,NULL
2024-09-03 20:45:21.951306,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,c22e0493-8cdc-3001-b829-98398f2423aa,10906614567,8F2423AA,2993b9e4-eade-4686-8e85-51dbf1c57e5f,2993b9e4-eade-4686-8e85-51dbf1c57e5f,Marketplace,1 3 Pack Of Cookies missing,-2.96,NULL
2024-09-03 19:36:16.09383,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,cd6013b1-23b3-3001-a765-eec4744b5bc2,10905891719,744B5BC2,c13389e8-0d44-4240-8e28-54afac189347,c13389e8-0d44-4240-8e28-54afac189347,Marketplace,1 Double Bacon Quarter Pounder® with Cheese Meal incorrect,-15.45,NULL
2024-09-03 11:56:24.159488,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,85ca22b7-64ff-3001-9800-9df6c3599722,10902365956,C3599722,82db52c6-07be-4f08-ad71-d2285b712e3f,82db52c6-07be-4f08-ad71-d2285b712e3f,Marketplace,1 Big Mac® Meal missing,-4.20,NULL
2024-09-03 10:10:29.218576,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,6a699a8c-f370-3001-85f6-cdd8b433fca5,10901918938,B433FCA5,769dbbe1-0dcc-4015-826a-b2a0e6c46b5c,769dbbe1-0dcc-4015-826a-b2a0e6c46b5c,Marketplace,"1 English McMuffin® missing
1 English McMuffin® missing",-3.10,NULL
2024-09-02 19:48:41.298737,2024-09-09,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,4af77e6b-762b-3001-871b-55d6512bc99a,10898585112,512BC99A,3ebea683-2874-4b15-a30b-31965d9051d4,3ebea683-2874-4b15-a30b-31965d9051d4,Marketplace,"1 M&M® McFlurry® missing
1 Chocolate Shake missing",-10.35,NULL
