Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2024-05-14,false,6a47c875-da89-4249-b9bf-91c7c4c3b7c1,mcd-freeitem-051024-051924-allcx-E,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,18.87,5.79,0.00,0.00,0.00,0.00,0.00,18.87,3.26,0,1,1,0,1,1
2024-05-14,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,4,105.69,23.16,0.00,0.00,0.00,0.00,0.00,26.42,4.56,0,4,4,0,2,2
2024-05-15,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,13,353.23,75.27,0.00,0.00,0.00,0.00,0.00,27.17,4.69,0,13,13,0,7,7
2024-05-16,false,a37a5816-bd10-4e3c-815d-a4b5ac1c0d90,mcd-freeitem-051024-051924-allcx-C,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,32.18,5.79,0.00,0.00,0.00,0.00,0.00,32.18,5.56,0,1,1,0,0,0
2024-05-16,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,59.73,15.58,0.00,0.00,0.00,0.00,0.00,29.87,3.83,0,0,2,0,0,1
2024-05-16,false,0690f68c-653b-4c2c-8e38-fd3f1ddeec1f,mcd-freeitem-051024-051924-allcx-D,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,34.45,5.79,0.00,0.00,0.00,0.00,0.00,34.45,5.95,0,1,1,0,1,1
2024-05-16,false,6a47c875-da89-4249-b9bf-91c7c4c3b7c1,mcd-freeitem-051024-051924-allcx-E,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,18.87,5.79,0.00,0.00,0.00,0.00,0.00,18.87,3.26,0,1,1,0,1,1
2024-05-16,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,6,172.85,34.74,0.00,0.00,0.00,0.00,0.00,28.81,4.98,2,4,6,0,2,2
2024-05-17,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,37.45,7.19,0.00,0.00,0.00,0.00,0.00,37.45,5.21,0,0,1,0,0,0
2024-05-17,false,9e822116-1a45-4459-a6fb-77c1c0c6f636,mcd-freeitem-051024-051924-allcx-A,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,3,124.68,17.37,0.00,0.00,0.00,0.00,0.00,41.56,7.18,0,3,3,0,2,2
2024-05-17,false,a37a5816-bd10-4e3c-815d-a4b5ac1c0d90,mcd-freeitem-051024-051924-allcx-C,Custom campaign,2024-05-10,2024-05-20,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,52.20,11.58,0.00,0.00,0.00,0.00,0.00,26.10,4.51,0,2,2,0,1,1
